income,family_size,utility_bills_paid,loan_defaults,credit_history_years,suspicious_transactions,is_eligible,trust_score
34592,1,1,0,7,1,1,73.4184
91482,2,1,0,0,0,0,86.2964
50495,9,0,0,20,5,0,43.099000000000004
74987,4,1,0,0,1,0,75.9974
64597,5,0,0,10,0,0,73.9194
69797,2,1,0,19,2,0,87.4594
80217,9,0,1,2,4,0,0.0
67400,10,0,0,1,5,0,12.98
57930,2,0,0,12,2,0,61.586
67819,3,1,0,6,5,0,41.5638
29358,10,0,0,5,3,0,34.3716
55382,9,0,0,1,1,0,47.5764
61347,7,1,0,6,4,1,51.2694
47869,8,1,1,4,2,1,32.5738
52325,9,1,1,18,3,1,47.465
48746,3,1,0,1,0,1,78.2492
40969,7,0,1,12,4,0,8.1938
89352,5,0,0,17,2,0,78.3704
64587,2,1,1,5,3,0,25.4174
54522,9,0,0,20,2,0,75.9044
86540,10,0,0,11,1,0,76.80799999999999
89514,1,1,1,0,0,0,57.9028
60306,4,0,0,18,0,0,85.0612
83699,2,0,0,15,4,0,46.2398
54741,9,1,0,17,5,1,54.4482
60857,7,1,1,16,3,1,42.1714
52493,4,0,0,0,4,0,23.4986
50161,10,0,0,2,5,0,18.0322
27716,4,0,0,10,0,0,73.5432
51195,5,1,0,17,1,1,99.739
95525,8,0,1,13,1,0,44.605000000000004
32704,7,1,1,13,3,1,31.040799999999997
32899,1,1,0,3,1,1,69.0798
44931,9,1,0,13,1,1,87.4862
80637,4,0,1,17,0,0,56.6274
90855,1,0,0,5,3,0,47.671
83092,4,1,0,5,3,0,59.11840000000001
71173,5,1,0,13,5,0,56.7346
83788,3,0,0,6,0,0,79.7576
91066,1,1,0,1,4,0,51.7132
85909,9,0,0,16,0,0,88.1818
28981,10,0,0,12,0,0,77.7962
52271,10,0,0,13,5,0,33.9542
94085,9,1,0,6,5,0,47.817
51285,5,1,0,20,2,1,92.257
61441,2,0,1,19,4,0,16.7882
29602,9,0,0,4,2,0,37.9204
52018,6,1,0,14,4,1,60.4036
89329,1,1,0,4,2,0,69.86580000000001
34029,9,0,0,9,4,0,28.305799999999998
64942,4,1,1,8,0,1,60.9884
75518,5,0,0,10,1,0,75.1036
54335,3,1,1,17,0,0,72.367
29862,3,0,0,18,4,0,39.9724
76333,3,0,0,11,0,0,81.7666
47535,4,0,0,17,3,0,59.007
40257,4,0,0,13,0,0,74.5514
63540,7,0,0,5,5,0,16.208
70140,1,1,0,6,3,0,63.028
60001,4,0,0,6,3,0,41.0002
56517,2,1,0,20,4,0,72.3034
90282,6,0,0,8,1,0,74.0564
54795,1,0,1,11,5,0,0.0
77199,10,0,1,18,1,0,51.4398
25817,7,0,0,11,3,0,37.6634
63279,10,1,0,9,4,1,55.1558
73528,6,1,0,17,1,0,98.0
75108,7,0,0,12,4,0,38.0216
59829,5,0,1,18,4,0,23.9658
62237,8,1,1,6,4,1,23.447400000000002
42241,2,1,0,2,1,1,76.4482
60687,4,0,0,0,0,0,60.1374
82277,10,0,1,13,5,0,9.955400000000001
45485,7,1,1,7,1,1,54.597
20726,2,1,0,5,5,1,34.6452
80889,1,0,0,14,1,0,79.1778
89616,9,1,1,19,5,0,39.4232
75933,9,1,0,15,3,0,76.6866
52406,5,1,0,8,3,1,58.4812
57450,4,1,0,10,4,1,52.49
38136,3,0,1,4,5,0,0.0
28418,7,1,0,17,3,1,72.1836
28161,4,1,1,18,5,1,17.6322
95456,7,1,0,11,2,0,86.5912
74921,9,0,1,7,2,0,26.4842
83654,1,1,0,12,5,0,51.7308
81261,3,0,1,18,4,0,28.2522
23552,2,1,0,14,1,1,80.71039999999999
54099,7,1,0,14,2,1,81.8198
69692,5,1,0,2,3,1,51.9384
90702,1,1,0,20,0,0,100.0
25276,1,0,0,0,4,0,12.0552
51266,3,1,0,18,1,0,99.25319999999999
53586,6,0,0,5,2,0,44.2172
95849,1,1,1,12,5,0,25.1698
29961,10,0,0,9,5,0,23.4922
35866,10,0,0,17,3,0,57.6732
68571,2,1,0,13,3,0,69.2142
76822,6,1,0,13,1,0,97.8644
55400,10,1,1,13,5,1,24.58
55179,6,0,0,8,3,0,41.0358
80910,10,1,0,0,3,0,56.182
43834,8,0,0,8,2,0,49.7668
98139,5,0,0,2,1,0,63.6278
84038,9,0,1,20,5,0,18.8076
78743,1,0,0,7,3,0,44.248599999999996
60135,10,1,1,17,4,1,37.527
75771,9,1,0,14,2,0,85.1542
52951,4,0,0,10,0,0,78.5902
44267,4,0,1,8,5,0,4.0
88765,10,1,0,6,2,0,74.753
67301,3,1,0,17,1,0,97.9602
25965,1,1,0,20,3,1,71.193
21607,10,1,1,15,3,1,36.8214
44164,1,1,1,3,0,1,54.3328
84454,2,0,0,4,4,0,31.8908
31164,4,0,1,19,4,0,18.7328
49581,9,1,1,14,2,1,54.9162
76207,5,0,0,6,5,0,22.2414
54687,2,0,0,5,4,0,24.4374
40517,1,1,1,19,3,1,45.6034
24278,4,1,0,14,0,1,100.0
50595,5,0,1,3,4,0,0.0
39528,5,0,0,1,1,0,48.4056
97993,10,1,1,3,3,0,33.098600000000005
72757,5,1,1,2,4,0,12.551400000000001
76626,6,1,0,2,1,0,83.3252
95392,10,0,0,18,0,0,93.0784
81669,9,1,0,5,4,0,54.8338
84451,2,1,0,13,2,0,86.3902
33710,3,1,1,15,2,1,54.242
72488,9,0,1,2,2,0,16.4976
62372,2,1,0,17,3,0,78.9744
27104,4,1,1,20,3,1,40.4208
46680,5,0,0,14,5,0,32.336
35915,1,0,0,9,4,0,25.683
92384,7,0,0,3,3,0,38.9768
40181,8,1,0,13,3,1,69.5362
51946,8,0,1,6,4,0,3.0
37892,2,1,1,10,4,1,21.578400000000002
20336,5,1,1,4,3,1,23.0672
83483,6,1,1,14,2,0,55.696600000000004
51300,10,1,0,13,0,1,99.76
81993,7,1,0,15,0,0,97.0
85836,10,1,0,14,0,0,100.0
79890,1,0,1,20,1,0,51.978
81537,5,1,1,20,0,0,86.3074
89942,7,1,1,17,0,0,87.4884
28968,4,1,0,2,3,1,44.7936
33173,8,0,0,0,0,0,56.6346
27355,5,1,0,13,1,1,82.971
89621,7,0,0,5,0,0,79.4242
70140,10,0,1,18,1,0,49.028
80443,5,1,0,0,3,0,55.0886
91643,3,0,1,11,4,0,13.828600000000002
75615,5,1,0,6,3,0,66.123
33979,4,1,0,18,2,1,82.7958
22875,7,1,0,18,5,1,46.575
99482,8,1,0,19,2,0,96.3964
44920,10,1,0,20,0,1,100.0
25167,5,1,0,18,2,1,79.0334
31813,5,1,1,5,1,1,40.8626
90701,6,1,0,8,3,0,69.1402
64396,2,1,0,4,1,0,83.8792
72089,9,1,0,12,0,0,99.0
90329,2,1,0,8,4,0,61.065799999999996
68689,2,0,1,0,4,0,3.0
62992,10,0,0,20,3,0,61.5984
73516,2,0,0,1,2,0,48.2032
35220,2,0,0,12,3,0,45.044
90804,7,0,1,20,0,0,70.1608
73492,5,0,0,6,3,0,45.6984
50947,6,0,0,17,5,0,35.6894
27936,7,1,0,3,3,1,46.0872
47801,10,0,0,10,1,0,61.560199999999995
94000,4,0,0,18,1,0,83.8
63064,3,0,0,4,1,0,61.6128
52853,3,0,0,4,0,0,66.5706
51186,10,1,0,5,2,1,62.7372
36614,7,0,0,15,3,0,49.8228
87271,10,0,1,16,1,0,55.4542
25683,9,1,1,20,0,1,70.1366
82781,7,1,0,15,5,0,61.056200000000004
29632,2,1,0,2,1,1,67.9264
96724,9,1,1,19,4,0,46.8448
79469,9,1,0,3,5,0,45.3938
92264,4,1,1,7,3,0,38.952799999999996
79441,7,1,0,10,3,0,70.8882
53408,6,0,1,2,0,0,29.681600000000003
32219,7,0,0,4,4,0,17.4438
96869,9,1,0,13,2,0,93.8738
75435,1,1,0,11,0,0,100.0
86507,4,0,1,7,0,0,47.8014
92910,6,0,0,18,1,0,86.582
93526,10,0,0,0,1,0,57.705200000000005
60499,6,1,0,5,1,1,83.5998
72531,2,0,0,2,5,0,20.5062
48197,7,1,1,10,1,1,54.6394
60846,6,0,0,4,1,0,62.169200000000004
26522,2,1,1,13,3,1,38.8044
77939,7,1,0,16,0,0,100.0
76349,2,1,1,16,5,0,28.2698
25952,4,1,0,0,1,1,64.1904
47686,3,1,0,10,0,1,89.5372
85193,7,0,0,12,4,0,43.0386
85570,9,1,0,12,5,0,50.114000000000004
77176,1,1,0,10,4,0,61.4352
95156,7,1,0,3,3,0,58.5312
62568,3,1,0,2,3,0,51.5136
51891,7,1,0,12,2,1,78.37819999999999
49041,6,0,0,16,5,0,29.8082
89547,9,0,0,11,5,0,39.409400000000005
39358,4,0,0,8,1,0,56.8716
98957,3,0,0,20,3,0,71.7914
93889,10,1,0,20,2,0,95.7778
77640,2,1,1,20,2,0,64.528
97518,1,1,0,9,3,0,75.0036
24929,1,1,0,2,5,1,23.9858
97867,9,1,1,18,4,0,41.5734
78947,10,0,0,19,3,0,67.2894
39773,1,1,0,10,5,1,38.9546
86132,3,0,0,14,3,0,61.2264
88517,10,0,0,11,2,0,65.2034
73578,6,0,0,2,2,0,43.7156
93133,7,1,0,19,1,0,100.0
30682,10,0,0,9,5,0,24.636400000000002
71374,3,0,0,17,3,0,64.7748
63054,3,0,1,16,2,0,31.610799999999998
67526,5,0,0,10,3,0,46.5052
49693,3,0,0,9,0,0,76.4386
90748,9,0,0,19,1,0,90.64959999999999
69377,3,0,0,19,1,0,84.3754
25726,7,1,0,14,4,1,55.1452
78841,4,0,0,15,1,0,78.26820000000001
94766,8,1,0,12,4,0,69.9532
74874,3,0,0,8,0,0,81.9748
82991,6,0,0,9,0,0,77.09819999999999
55755,8,0,1,2,1,0,26.151
65820,1,1,0,12,4,0,61.164
50903,7,0,0,7,0,0,70.6806
